Order ID,Order Date,Ship Date,Customer ID,Customer Name,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Year,Month,Month Number,Quarter,Profit Margin %
CA-2016-152156,2016-11-08,2016-11-11,CG-12520,Claire Gute,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,261.96,2,0.0,41.9136,2016,November,11,4,16.000000000000004
CA-2016-152156,2016-11-08,2016-11-11,CG-12520,Claire Gute,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,731.94,3,0.0,219.582,2016,November,11,4,30.0
CA-2016-138688,2016-06-12,2016-06-16,DV-13045,Darrin Van Huff,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,14.62,2,0.0,6.8714,2016,June,6,2,47.0
US-2015-108966,2015-10-11,2015-10-18,SO-20335,Sean O'Donnell,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,957.5775,5,0.45,-383.031,2015,October,10,4,-40.0
US-2015-108966,2015-10-11,2015-10-18,SO-20335,Sean O'Donnell,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,22.368,2,0.2,2.5164,2015,October,10,4,11.25
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,48.86,7,0.0,14.1694,2014,June,6,2,28.999999999999996
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,7.28,4,0.0,1.9656,2014,June,6,2,27.0
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,907.152,6,0.2,90.7152,2014,June,6,2,10.0
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,18.504,3,0.2,5.7825,2014,June,6,2,31.249999999999993
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,114.9,5,0.0,34.47,2014,June,6,2,30.0
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,1706.184,9,0.2,85.3092,2014,June,6,2,5.0
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,911.424,4,0.2,68.3568,2014,June,6,2,7.500000000000001
CA-2017-114412,2017-04-15,2017-04-20,AA-10480,Andrew Allen,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,15.552,3,0.2,5.4432,2017,April,4,2,35.0
CA-2016-161389,2016-12-05,2016-12-10,IM-15070,Irene Maddox,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,407.976,3,0.2,132.5922,2016,December,12,4,32.49999999999999
US-2015-118983,2015-11-22,2015-11-26,HP-14815,Harold Pawlan,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,68.81,5,0.8,-123.858,2015,November,11,4,-180.0
US-2015-118983,2015-11-22,2015-11-26,HP-14815,Harold Pawlan,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,2.544,3,0.8,-3.816,2015,November,11,4,-150.0
CA-2014-105893,2014-11-11,2014-11-18,PK-19075,Pete Kriz,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,665.88,6,0.0,13.3176,2014,November,11,4,2.0
CA-2014-167164,2014-05-13,2014-05-15,AG-10270,Alejandro Grove,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,55.5,2,0.0,9.99,2014,May,5,2,18.0
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,Zuschuss Donatelli,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,8.56,2,0.0,2.4824,2014,August,8,3,28.999999999999996
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,Zuschuss Donatelli,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,213.48,3,0.2,16.011,2014,August,8,3,7.5
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,Zuschuss Donatelli,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,22.72,4,0.2,7.384,2014,August,8,3,32.5
CA-2016-137330,2016-12-09,2016-12-13,KB-16585,Ken Black,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,19.46,7,0.0,5.0596,2016,December,12,4,25.999999999999996
CA-2016-137330,2016-12-09,2016-12-13,KB-16585,Ken Black,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,60.34,7,0.0,15.6884,2016,December,12,4,25.999999999999996
US-2017-156909,2017-07-16,2017-07-18,SF-20065,Sandra Flanagan,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,71.372,2,0.3,-1.0196,2017,July,7,3,-1.4285714285714286
CA-2015-106320,2015-09-25,2015-09-30,EB-13870,Emily Burns,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,1044.63,3,0.0,240.2649,2015,September,9,3,23.0
CA-2016-121755,2016-01-16,2016-01-20,EH-13945,Eric Hoffmann,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,11.648,2,0.2,4.2224,2016,January,1,1,36.25000000000001
